Author,Text,,Verse,Year,Form,Head_Noun,Relative_Clause,Category
Plautus,Amphitruo,,9-Arg2,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,26,-200,ille,Iuppiter,TRUE,Determiner
Plautus,Amphitruo,,37,-200,illi,iniqui,FALSE,Determiner
Plautus,Amphitruo,,47,-200,<ille>,mos,FALSE,Determiner
Plautus,Amphitruo,,80,-200,illis,NA,TRUE,Pronoun
Plautus,Amphitruo,,95,-200,illo,NA,FALSE,Pronoun
Plautus,Amphitruo,,112,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,114,-200,illa,NA,TRUE,Pronoun
Plautus,Amphitruo,,133,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,134,-200,illa,NA,TRUE,Pronoun
Plautus,Amphitruo,,134,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,150,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,176,-200,illo,modo,FALSE,Determiner
Plautus,Amphitruo,,182,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,185,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,197,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,197,-200,illo,NA,FALSE,Pronoun
Plautus,Amphitruo,,203,-200,illo,NA,FALSE,Pronoun
Plautus,Amphitruo,,209,-200,illis,NA,FALSE,Pronoun
Plautus,Amphitruo,,249,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,254,-200,illo,die,FALSE,Determiner
Plautus,Amphitruo,,295,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,307,-200,illum,numerum,FALSE,Determiner
Plautus,Amphitruo,,314,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,387,-200,ille,Sosia,TRUE,Determiner
Plautus,Amphitruo,,416,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,431,-200,illud,NA,FALSE,Pronoun
Plautus,Amphitruo,,441,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,449,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,461,-200,ille,Iuppiter,FALSE,Determiner
Plautus,Amphitruo,,465,-200,illam,NA,FALSE,Pronoun
Plautus,Amphitruo,,466,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,468,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,468,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,470,-200,illos,NA,FALSE,Pronoun
Plautus,Amphitruo,,473,-200,illius,NA,FALSE,Pronoun
Plautus,Amphitruo,,478,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,480,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,510,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,534,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,601,-200,ille,NA,FALSE,Determiner
Plautus,Amphitruo,,604,-200,illo,NA,FALSE,Pronoun
Plautus,Amphitruo,,618,-200,ille,Sosia,TRUE,Determiner
Plautus,Amphitruo,,625,-200,ille ,Sosia,FALSE,Determiner
Plautus,Amphitruo,,627,-200,illum,seruom,FALSE,Determiner
Plautus,Amphitruo,,639,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,658,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,660,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,660,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,673,-200,illi,puteo,FALSE,Determiner
Plautus,Amphitruo,,744,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,752,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,752,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,755,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,756,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,761,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,766,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,772,-200,illud,NA,FALSE,Pronoun
Plautus,Amphitruo,,773,-200,illam,pateram,FALSE,Determiner
Plautus,Amphitruo,,780,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,801,-200,illud,principium,FALSE,Determiner
Plautus,Amphitruo,,824,-200,illud,NA,TRUE,Pronoun
Plautus,Amphitruo,,828,-200,illo,Sosia,FALSE,Determiner
Plautus,Amphitruo,,839,-200,illam,NA,TRUE,Pronoun
Plautus,Amphitruo,,858,-200,illi,uiro,FALSE,Determiner
Plautus,Amphitruo,,860,-200,ille,Amphitruo,TRUE,Determiner
Plautus,Amphitruo,,888,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,889,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,891,-200,illud,NA,FALSE,Pronoun
Plautus,Amphitruo,,892,-200,illam,NA,FALSE,Pronoun
Plautus,Amphitruo,,894,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,896,-200,illius,NA,FALSE,Pronoun
Plautus,Amphitruo,,916,-200,illa,NA,FALSE,Pronoun
Plautus,Amphitruo,,922,-200,illud,NA,FALSE,Pronoun
Plautus,Amphitruo,,954,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,988,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,1002,-200,illi,NA,FALSE,Pronoun
Plautus,Amphitruo,,1003,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,1005,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,1008,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,1010,-200,illum,NA,FALSE,Pronoun
Plautus,Amphitruo,,1017,-200,illam,quaestionem,FALSE,Determiner
Plautus,Amphitruo,,1043,-200,illum,uenificum,TRUE,Determiner
Plautus,Amphitruo,,1045,-200,ille,NA,FALSE,Pronoun
Plautus,Amphitruo,,1070,-200,illam,NA,FALSE,Pronoun
Plautus,Amphitruo,,1114,-200,ille,puer,TRUE,Determiner
Plautus,Amphitruo,,1123,-200,ille,angues,FALSE,Determiner
Plautus,Amphitruo,,1134,-200,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,4,64,illa,orator,FALSE,Determiner
Petronius,Satyricon,,7,64,illa,NA,FALSE,Determiner
Petronius,Satyricon,,8,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,8,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,8,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,9,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,12,64,ille,NA,TRUE,Pronoun
Petronius,Satyricon,,13,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,14,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,14,64,illa,pars,FALSE,Determiner
Petronius,Satyricon,,16,64,illa,NA,TRUE,Pronoun
Petronius,Satyricon,,17,64,illa,nox,FALSE,Determiner
Petronius,Satyricon,,18,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,22,64,illa,ancilla,TRUE,Determiner
Petronius,Satyricon,,22,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,22,64,illi,Syri,TRUE,Determiner
Petronius,Satyricon,,23,64,illa,domo,FALSE,Determiner
Petronius,Satyricon,,24,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,25,64,illud,prouerbium,FALSE,Determiner
Petronius,Satyricon,,27,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,30,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,31,64,ille,servus,FALSE,Determiner
Petronius,Satyricon,,33,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,36,64,ille,NA,TRUE,Pronoun
Petronius,Satyricon,,36,64,illum,NA,TRUE,Pronoun
Petronius,Satyricon,,37,64,illa,mulier,TRUE,Determiner
Petronius,Satyricon,,37,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,37,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,37,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illum,NA,TRUE,Pronoun
Petronius,Satyricon,,38,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,38,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,39,64,illa,cena,TRUE,Determiner
Petronius,Satyricon,,39,64,ille,fericulus?,FALSE,Determiner
Petronius,Satyricon,,39,64,illo,signo,FALSE,Determiner
Petronius,Satyricon,,39,64,illoc,NA,FALSE,Pronoun
Petronius,Satyricon,,39,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,40,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,40,64,ille,Carpus,TRUE,Determiner
Petronius,Satyricon,,40,64,ille,porcus,FALSE,Determiner
Petronius,Satyricon,,41,64,illum,interpres,FALSE,Determiner
Petronius,Satyricon,,41,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,42,64,illo,NA,FALSE,Pronoun
Petronius,Satyricon,,42,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,42,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,42,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,ille,stips,FALSE,Pronoun
Petronius,Satyricon,,43,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,43,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,44,64,illa ,Ganymedes,FALSE,Determiner
Petronius,Satyricon,,44,64,illos,leo,TRUE,Determiner
Petronius,Satyricon,,44,64,illud,NA,FALSE,Pronoun
Petronius,Satyricon,,44,64,illis,NA,FALSE,Pronoun
Petronius,Satyricon,,44,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,44,64,illo,tempore,FALSE,Pronoun
Petronius,Satyricon,,44,64,illa,omnis,FALSE,Determiner
Petronius,Satyricon,,45,64,illud,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illa,matella,FALSE,Determiner
Petronius,Satyricon,,45,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,45,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,46,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,47,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,47,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,48,64,illud,NA,FALSE,Pronoun
Petronius,Satyricon,,48,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,48,64,illi,puer,FALSE,Determiner
Petronius,Satyricon,,48,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,49,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,49,64,illo,NA,FALSE,Pronoun
Petronius,Satyricon,,49,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,49,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,50,64,illinc,NA,FALSE,Pronoun
Petronius,Satyricon,,50,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,50,64,illud,NA,FALSE,Pronoun
Petronius,Satyricon,,51,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,51,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,51,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,51,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,52,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,52,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,53,64,illos,NA,FALSE,Pronoun
Petronius,Satyricon,,54,64,ille,cocus,TRUE,Determiner
Petronius,Satyricon,,56,64,illos,NA,FALSE,Pronoun
Petronius,Satyricon,,56,64,illae ,NA,FALSE,Pronoun
Petronius,Satyricon,,56,64,illud,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,57,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,59,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,59,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,59,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,61,64,illud,NA,TRUE,Pronoun
Petronius,Satyricon,,61,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,61,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,61,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,61,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,illis,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,illo,locus,TRUE,Determiner
Petronius,Satyricon,,62,64,illius,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,62,64,illo,NA,FALSE,Pronoun
Petronius,Satyricon,,63,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,63,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,63,64,ille,longus,FALSE,Determiner
Petronius,Satyricon,,64,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,64,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,64,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,65,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,67,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,67,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,67,64,illi,torus,TRUE,Determiner
Petronius,Satyricon,,67,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,67,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,69,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,69,64,illum,NA,FALSE,Pronoun
Petronius,Satyricon,,69,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,70,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,70,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,71,64,illos,NA,FALSE,Pronoun
Petronius,Satyricon,,71,64,illos,omnis,FALSE,Determiner
Petronius,Satyricon,,71,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,71,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,72,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,72,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,72,64,ille,NA,FALSE,Pronoun
Petronius,Satyricon,,73,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,74,64,illo,cocus,TRUE,Pronoun
Petronius,Satyricon,,74,64,illi,NA,FALSE,Pronoun
Petronius,Satyricon,,74,64,illa,NA,FALSE,Pronoun
Petronius,Satyricon,,74,64,illam,NA,FALSE,Pronoun
Petronius,Satyricon,,75,64,illum,NA,FALSE,Pronoun
